VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,PULocationID,DOLocationID
2,01/01/2016 12:25:50 AM,01/01/2016 12:40:32 AM,N,1,-73.872909545898438,40.840999603271484,-73.906303405761719,40.862716674804688,1,2.92,12.5,0.5,0.5,2.76,0,,0.3,16.56,1,1,,
2,01/01/2016 12:33:15 AM,01/01/2016 12:40:13 AM,N,1,-73.918922424316406,40.765727996826172,-73.903083801269531,40.770721435546875,1,1.23,6.5,0.5,0.5,2.34,0,,0.3,10.14,1,1,,
2,01/01/2016 12:37:16 AM,01/01/2016 12:40:27 AM,N,1,-73.962936401367188,40.673812866210938,-73.951156616210937,40.673450469970703,1,0.78,4.5,0.5,0.5,1.45,0,,0.3,7.25,1,1,,
2,01/01/2016 12:26:24 AM,01/01/2016 12:39:28 AM,N,1,-73.91485595703125,40.763992309570313,-73.861679077148438,40.734569549560547,1,6.53,19.5,0.5,0.5,0,0,,0.3,20.8,2,1,,
2,01/01/2016 12:34:21 AM,01/01/2016 12:40:25 AM,N,1,-73.954887390136719,40.688480377197266,-73.942024230957031,40.695468902587891,1,1.36,6.5,0.5,0.5,1.95,0,,0.3,9.75,1,1,,
2,01/01/2016 12:25:45 AM,01/01/2016 12:40:43 AM,N,1,-73.924774169921875,40.741310119628906,-73.933212280273438,40.704250335693359,1,3.68,14,0.5,0.5,3.06,0,,0.3,18.36,1,1,,
2,01/01/2016 12:17:02 AM,01/01/2016 12:39:10 AM,N,1,-73.985397338867187,40.671195983886719,-73.973663330078125,40.747455596923828,1,7.99,25.5,0.5,0.5,0,0,,0.3,26.8,2,1,,
2,01/01/2016 12:31:44 AM,01/01/2016 12:40:33 AM,N,1,-73.979454040527344,40.660800933837891,-73.965972900390625,40.634502410888672,1,2.15,9,0.5,0.5,3.09,0,,0.3,13.39,1,1,,
2,01/01/2016 12:31:56 AM,01/01/2016 12:40:30 AM,N,1,-73.919219970703125,40.758762359619141,-73.914115905761719,40.759922027587891,1,0.71,7,0.5,0.5,1.66,0,,0.3,9.96,1,1,,
2,01/01/2016 12:13:58 AM,01/01/2016 12:40:38 AM,N,1,-73.909431457519531,40.775253295898437,-74.027633666992188,40.618354797363281,1,16.95,47,0.5,0.5,3,0,,0.3,51.3,1,1,,
